node011,R5_PA_C04_u21-22,"[""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz"", ""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz""]","[""Xeon Phi coprocessor 5100 series""]",64,"[""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:EC:08"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:EC:09"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:EC:0A"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:EC:0B""]",FDR 56Gb,"[""1.8"", ""1.8"", ""1.8""]","[""3.6""]",172.16.2.21,5c:f9:dd:f3:7c:e7
node012,R5_PA_C04_u23-24,"[""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz"", ""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz""]","[""Xeon Phi coprocessor 5100 series""]",64,"[""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:F3:54"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:F3:55"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:F3:56"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:F3:57""]",FDR 56Gb,"[""1.8"", ""1.8"", ""1.8""]","[""3.6""]",172.16.2.22,5c:f9:dd:f4:13:05
node013,R5_PA_C04_u25-26,"[""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz"", ""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz""]","[""Xeon Phi coprocessor 5100 series""]",64,"[""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:E2:D8"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:E2:D9"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:E2:DA"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:E2:DB""]",FDR 56Gb,"[""1.8"", ""1.8"", ""1.8""]","[""3.6""]",172.16.2.23,5c:f9:dd:f4:13:4f
node014,R5_PA_C04_u27-28,"[""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz"", ""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz""]","[""Xeon Phi coprocessor 5100 series""]",64,"[""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:EC:3C"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:EC:3D"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:EC:3E"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:EC:3F""]",FDR 56Gb,"[""1.8"", ""1.8"", ""1.8""]","[""3.6""]",172.16.2.24,5c:f9:dd:f4:09:63
node015,R5_PA_C04_u29-30,"[""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz"", ""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz""]","[""Xeon Phi coprocessor 5100 series""]",64,"[""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:ED:61:6B"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:ED:61:6C"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:ED:61:6D"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:ED:61:6E""]",FDR 56Gb,"[""1.8"", ""1.8"", ""1.8""]","[""3.6""]",172.16.2.25,5c:f9:dd:f3:7d:35
node016,R5_PA_C04_u31-32,"[""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz"", ""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz""]","[""Xeon Phi coprocessor 5100 series""]",64,"[""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:E9:A3"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:E9:A4"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:E9:A5"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:EC:E9:A6""]",FDR 56Gb,"[""1.8"", ""1.8"", ""1.8""]","[""3.6""]",172.16.2.26,5c:f9:dd:f4:13:09
node017,R5_PA_C04_u33-34,"[""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz"", ""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz""]",[],64,"[""Broadcom NetXtreme II 10 Gb Ethernet BCM57800 - 90:B1:1C:58:E7:77"", ""Broadcom NetXtreme II 10 Gb Ethernet BCM57800 - 90:B1:1C:58:E7:79"", ""Broadcom NetXtreme II 1 Gb Ethernet BCM57800 - 90:B1:1C:58:E7:7B"", ""Broadcom NetXtreme II 1 Gb Ethernet BCM57800 - 90:B1:1C:58:E7:7D""]",FDR 56Gb,"[""1.8"", ""3.6"", ""1.8"", ""3.6"", ""1.8"", ""3.6"", ""3.6""]","[""3.6"", ""7.3""]",172.16.2.27,5c:f9:dd:f3:a6:69
node018,R5_PA_C04_u35-36,"[""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz"", ""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz""]",[],64,"[""Broadcom NetXtreme II 10 Gb Ethernet BCM57800 - 90:B1:1C:58:E6:7B"", ""Broadcom NetXtreme II 10 Gb Ethernet BCM57800 - 90:B1:1C:58:E6:7D"", ""Broadcom NetXtreme II 1 Gb Ethernet BCM57800 - 90:B1:1C:58:E6:7F"", ""Broadcom NetXtreme II 1 Gb Ethernet BCM57800 - 90:B1:1C:58:E6:81""]",FDR 56Gb,"[""1.8"", ""1.8"", ""1.8""]","[""3.6""]",172.16.2.28,5c:f9:dd:f3:a1:51
node019,R5_PA_C05_u01-02,"[""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz"", ""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz""]","[""NVIDIA Corporation GK110GL [Tesla K20m]""]",64,"[""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:ED:05:FF"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:ED:06:00"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:ED:06:01"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:ED:06:02""]",FDR 56Gb,"[""1.8"", ""1.8""]","[""3.6""]",172.16.2.29,5c:f9:dd:f3:a6:9d
node020,R5_PA_C05_u03-04,"[""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz"", ""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz""]","[""NVIDIA Corporation GK110GL [Tesla K20m]""]",64,"[""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:ED:3E:5E"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:ED:3E:5F"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:ED:3E:60"", ""Broadcom Gigabit Ethernet BCM5720 - B8:CA:3A:ED:3E:61""]",FDR 56Gb,"[""1.8"", ""1.8"", ""1.8""]","[""3.6""]",172.16.2.30,5c:f9:dd:f3:c6:21
